stimulus1,stimulus2,word1,word2,emotion1,emotion2,speaker1,speaker2,speaker1_ID,speaker2_ID,condition,participantID,gender
s901_w16_n.wav,s920_w17_n.wav,16,17,n,n,self,otherB,901,920,diffSelf,1,female
s920_w02_s.wav,s921_w07_n.wav,02,07,s,n,otherB,otherA,920,921,diffOther,1,female
s901_w12_h.wav,s901_w17_n.wav,12,17,h,n,self,self,901,901,sameSelf,1,female
s921_w03_n.wav,s921_w05_n.wav,03,05,n,n,otherA,otherA,921,921,sameOther,1,female
s920_w17_n.wav,s921_w12_n.wav,17,12,n,n,otherB,otherA,920,921,diffOther,1,female
s901_w06_h.wav,s921_w04_n.wav,06,04,h,n,self,otherA,901,921,diffSelf,1,female
s901_w16_n.wav,s901_w05_s.wav,16,05,n,s,self,self,901,901,sameSelf,1,female
s901_w17_s.wav,s901_w10_n.wav,17,10,s,n,self,self,901,901,sameSelf,1,female
s901_w03_h.wav,s901_w05_n.wav,03,05,h,n,self,self,901,901,sameSelf,1,female
s901_w15_n.wav,s901_w06_n.wav,15,06,n,n,self,self,901,901,sameSelf,1,female
s920_w20_n.wav,s921_w09_s.wav,20,09,n,s,otherB,otherA,920,921,diffOther,1,female
s920_w10_n.wav,s920_w02_n.wav,10,02,n,n,otherB,otherB,920,920,sameOther,1,female
s920_w03_n.wav,s920_w10_h.wav,03,10,n,h,otherB,otherB,920,920,sameOther,1,female
s920_w01_n.wav,s901_w20_n.wav,01,20,n,n,otherB,self,920,901,diffSelf,1,female
s921_w19_n.wav,s920_w17_h.wav,19,17,n,h,otherA,otherB,921,920,diffOther,1,female
s920_w01_n.wav,s921_w05_h.wav,01,05,n,h,otherB,otherA,920,921,diffOther,1,female
s901_w13_n.wav,s901_w11_n.wav,13,11,n,n,self,self,901,901,sameSelf,1,female
s921_w17_n.wav,s920_w12_n.wav,17,12,n,n,otherA,otherB,921,920,diffOther,1,female
s901_w07_n.wav,s901_w03_n.wav,07,03,n,n,self,self,901,901,sameSelf,1,female
s901_w18_s.wav,s901_w14_n.wav,18,14,s,n,self,self,901,901,sameSelf,1,female
s920_w05_n.wav,s901_w13_h.wav,05,13,n,h,otherB,self,920,901,diffSelf,1,female
s921_w09_n.wav,s920_w19_h.wav,09,19,n,h,otherA,otherB,921,920,diffOther,1,female
s920_w02_n.wav,s901_w08_s.wav,02,08,n,s,otherB,self,920,901,diffSelf,1,female
s920_w14_n.wav,s901_w09_h.wav,14,09,n,h,otherB,self,920,901,diffSelf,1,female
s921_w09_n.wav,s921_w17_s.wav,09,17,n,s,otherA,otherA,921,921,sameOther,1,female
s920_w05_h.wav,s920_w02_n.wav,05,02,h,n,otherB,otherB,920,920,sameOther,1,female
s920_w12_n.wav,s920_w13_n.wav,12,13,n,n,otherB,otherB,920,920,sameOther,1,female
s920_w19_s.wav,s920_w11_n.wav,19,11,s,n,otherB,otherB,920,920,sameOther,1,female
s920_w01_h.wav,s921_w18_n.wav,01,18,h,n,otherB,otherA,920,921,diffOther,1,female
s901_w10_n.wav,s901_w01_n.wav,10,01,n,n,self,self,901,901,sameSelf,1,female
s901_w12_n.wav,s901_w08_s.wav,12,08,n,s,self,self,901,901,sameSelf,1,female
s901_w07_h.wav,s921_w12_n.wav,07,12,h,n,self,otherA,901,921,diffSelf,1,female
s901_w13_n.wav,s901_w09_s.wav,13,09,n,s,self,self,901,901,sameSelf,1,female
s901_w18_n.wav,s921_w04_n.wav,18,04,n,n,self,otherA,901,921,diffSelf,1,female
s901_w08_h.wav,s921_w18_n.wav,08,18,h,n,self,otherA,901,921,diffSelf,1,female
s921_w08_n.wav,s921_w17_n.wav,08,17,n,n,otherA,otherA,921,921,sameOther,1,female
s920_w11_n.wav,s920_w19_n.wav,11,19,n,n,otherB,otherB,920,920,sameOther,1,female
s901_w09_n.wav,s901_w17_n.wav,09,17,n,n,self,self,901,901,sameSelf,1,female
s921_w13_h.wav,s921_w09_n.wav,13,09,h,n,otherA,otherA,921,921,sameOther,1,female
s901_w12_n.wav,s901_w14_n.wav,12,14,n,n,self,self,901,901,sameSelf,1,female
s921_w11_h.wav,s920_w13_n.wav,11,13,h,n,otherA,otherB,921,920,diffOther,1,female
s921_w04_n.wav,s920_w09_s.wav,04,09,n,s,otherA,otherB,921,920,diffOther,1,female
s920_w08_n.wav,s921_w03_s.wav,08,03,n,s,otherB,otherA,920,921,diffOther,1,female
s901_w11_h.wav,s920_w17_n.wav,11,17,h,n,self,otherB,901,920,diffSelf,1,female
s920_w15_n.wav,s921_w12_s.wav,15,12,n,s,otherB,otherA,920,921,diffOther,1,female
s921_w06_n.wav,s921_w08_n.wav,06,08,n,n,otherA,otherA,921,921,sameOther,1,female
s921_w16_n.wav,s901_w03_n.wav,16,03,n,n,otherA,self,921,901,diffSelf,1,female
s920_w03_n.wav,s901_w09_s.wav,03,09,n,s,otherB,self,920,901,diffSelf,1,female
s920_w08_s.wav,s920_w16_n.wav,08,16,s,n,otherB,otherB,920,920,sameOther,1,female
s920_w10_n.wav,s920_w09_h.wav,10,09,n,h,otherB,otherB,920,920,sameOther,1,female
s920_w07_s.wav,s921_w19_n.wav,07,19,s,n,otherB,otherA,920,921,diffOther,1,female
s921_w03_n.wav,s901_w13_n.wav,03,13,n,n,otherA,self,921,901,diffSelf,1,female
s901_w15_h.wav,s920_w13_n.wav,15,13,h,n,self,otherB,901,920,diffSelf,1,female
s901_w11_n.wav,s901_w03_h.wav,11,03,n,h,self,self,901,901,sameSelf,1,female
s920_w08_n.wav,s921_w10_n.wav,08,10,n,n,otherB,otherA,920,921,diffOther,1,female
s901_w14_s.wav,s920_w16_n.wav,14,16,s,n,self,otherB,901,920,diffSelf,1,female
s920_w05_n.wav,s921_w15_h.wav,05,15,n,h,otherB,otherA,920,921,diffOther,1,female
s921_w01_n.wav,s901_w17_s.wav,01,17,n,s,otherA,self,921,901,diffSelf,1,female
s920_w13_n.wav,s920_w01_h.wav,13,01,n,h,otherB,otherB,920,920,sameOther,1,female
s901_w06_n.wav,s901_w16_s.wav,06,16,n,s,self,self,901,901,sameSelf,1,female
s901_w06_n.wav,s901_w09_h.wav,06,09,n,h,self,self,901,901,sameSelf,1,female
s901_w20_n.wav,s901_w02_n.wav,20,02,n,n,self,self,901,901,sameSelf,1,female
s921_w16_h.wav,s921_w06_n.wav,16,06,h,n,otherA,otherA,921,921,sameOther,1,female
s920_w03_n.wav,s920_w01_s.wav,03,01,n,s,otherB,otherB,920,920,sameOther,1,female
s901_w15_h.wav,s901_w14_n.wav,15,14,h,n,self,self,901,901,sameSelf,1,female
s921_w18_h.wav,s920_w12_n.wav,18,12,h,n,otherA,otherB,921,920,diffOther,1,female
s901_w10_n.wav,s901_w20_n.wav,10,20,n,n,self,self,901,901,sameSelf,1,female
s901_w19_n.wav,s901_w16_n.wav,19,16,n,n,self,self,901,901,sameSelf,1,female
s921_w10_s.wav,s920_w13_n.wav,10,13,s,n,otherA,otherB,921,920,diffOther,1,female
s901_w07_s.wav,s921_w09_n.wav,07,09,s,n,self,otherA,901,921,diffSelf,1,female
s921_w11_n.wav,s920_w08_n.wav,11,08,n,n,otherA,otherB,921,920,diffOther,1,female
s921_w19_n.wav,s901_w05_h.wav,19,05,n,h,otherA,self,921,901,diffSelf,1,female
s901_w06_h.wav,s901_w10_n.wav,06,10,h,n,self,self,901,901,sameSelf,1,female
s921_w15_n.wav,s920_w14_s.wav,15,14,n,s,otherA,otherB,921,920,diffOther,1,female
s901_w10_s.wav,s920_w17_n.wav,10,17,s,n,self,otherB,901,920,diffSelf,1,female
s901_w12_n.wav,s920_w09_n.wav,12,09,n,n,self,otherB,901,920,diffSelf,1,female
s901_w02_h.wav,s920_w10_n.wav,02,10,h,n,self,otherB,901,920,diffSelf,1,female
s920_w06_h.wav,s921_w11_n.wav,06,11,h,n,otherB,otherA,920,921,diffOther,1,female
s901_w13_n.wav,s901_w07_s.wav,13,07,n,s,self,self,901,901,sameSelf,1,female
s920_w15_n.wav,s920_w11_n.wav,15,11,n,n,otherB,otherB,920,920,sameOther,1,female
s901_w18_n.wav,s901_w04_n.wav,18,04,n,n,self,self,901,901,sameSelf,1,female
s901_w02_h.wav,s901_w18_n.wav,02,18,h,n,self,self,901,901,sameSelf,1,female
s901_w17_n.wav,s901_w04_s.wav,17,04,n,s,self,self,901,901,sameSelf,1,female
s920_w18_n.wav,s921_w19_n.wav,18,19,n,n,otherB,otherA,920,921,diffOther,1,female
s921_w16_h.wav,s920_w02_n.wav,16,02,h,n,otherA,otherB,921,920,diffOther,1,female
s921_w16_n.wav,s921_w20_n.wav,16,20,n,n,otherA,otherA,921,921,sameOther,1,female
s920_w04_h.wav,s920_w12_n.wav,04,12,h,n,otherB,otherB,920,920,sameOther,1,female
s920_w01_n.wav,s901_w03_h.wav,01,03,n,h,otherB,self,920,901,diffSelf,1,female
s921_w13_n.wav,s921_w18_s.wav,13,18,n,s,otherA,otherA,921,921,sameOther,1,female
s901_w04_n.wav,s901_w07_h.wav,04,07,n,h,self,self,901,901,sameSelf,1,female
s921_w20_h.wav,s921_w14_n.wav,20,14,h,n,otherA,otherA,921,921,sameOther,1,female
s901_w10_n.wav,s920_w15_n.wav,10,15,n,n,self,otherB,901,920,diffSelf,1,female
s920_w03_n.wav,s921_w04_n.wav,03,04,n,n,otherB,otherA,920,921,diffOther,1,female
s920_w14_n.wav,s901_w13_s.wav,14,13,n,s,otherB,self,920,901,diffSelf,1,female
s901_w15_s.wav,s901_w02_n.wav,15,02,s,n,self,self,901,901,sameSelf,1,female
s901_w01_n.wav,s901_w09_h.wav,01,09,n,h,self,self,901,901,sameSelf,1,female
s901_w19_s.wav,s921_w12_n.wav,19,12,s,n,self,otherA,901,921,diffSelf,1,female
s921_w14_n.wav,s901_w01_n.wav,14,01,n,n,otherA,self,921,901,diffSelf,1,female
s921_w05_n.wav,s920_w03_s.wav,05,03,n,s,otherA,otherB,921,920,diffOther,1,female
s920_w05_n.wav,s921_w13_n.wav,05,13,n,n,otherB,otherA,920,921,diffOther,1,female
s921_w04_n.wav,s920_w07_h.wav,04,07,n,h,otherA,otherB,921,920,diffOther,1,female
s901_w02_s.wav,s920_w15_n.wav,02,15,s,n,self,otherB,901,920,diffSelf,1,female
s921_w02_s.wav,s921_w18_n.wav,02,18,s,n,otherA,otherA,921,921,sameOther,1,female
s901_w19_n.wav,s901_w01_h.wav,19,01,n,h,self,self,901,901,sameSelf,1,female
s921_w06_n.wav,s921_w07_h.wav,06,07,n,h,otherA,otherA,921,921,sameOther,1,female
s921_w14_n.wav,s921_w12_h.wav,14,12,n,h,otherA,otherA,921,921,sameOther,1,female
s921_w02_n.wav,s920_w01_n.wav,02,01,n,n,otherA,otherB,921,920,diffOther,1,female
s901_w12_s.wav,s901_w08_n.wav,12,08,s,n,self,self,901,901,sameSelf,1,female
s901_w11_s.wav,s921_w06_n.wav,11,06,s,n,self,otherA,901,921,diffSelf,1,female
s901_w11_n.wav,s901_w16_n.wav,11,16,n,n,self,self,901,901,sameSelf,1,female
s920_w04_n.wav,s920_w01_n.wav,04,01,n,n,otherB,otherB,920,920,sameOther,1,female
s921_w10_n.wav,s921_w02_s.wav,10,02,n,s,otherA,otherA,921,921,sameOther,1,female
s921_w14_n.wav,s920_w06_n.wav,14,06,n,n,otherA,otherB,921,920,diffOther,1,female
s920_w20_s.wav,s920_w03_n.wav,20,03,s,n,otherB,otherB,920,920,sameOther,1,female
s901_w20_s.wav,s901_w14_n.wav,20,14,s,n,self,self,901,901,sameSelf,1,female
s921_w20_s.wav,s920_w16_n.wav,20,16,s,n,otherA,otherB,921,920,diffOther,1,female
s921_w04_n.wav,s901_w08_h.wav,04,08,n,h,otherA,self,921,901,diffSelf,1,female
s920_w08_n.wav,s920_w14_s.wav,08,14,n,s,otherB,otherB,920,920,sameOther,1,female
s921_w15_n.wav,s920_w20_n.wav,15,20,n,n,otherA,otherB,921,920,diffOther,1,female
s901_w20_h.wav,s901_w19_n.wav,20,19,h,n,self,self,901,901,sameSelf,1,female
s921_w17_s.wav,s921_w05_n.wav,17,05,s,n,otherA,otherA,921,921,sameOther,1,female
s920_w06_h.wav,s921_w14_n.wav,06,14,h,n,otherB,otherA,920,921,diffOther,1,female
s921_w15_n.wav,s921_w18_h.wav,15,18,n,h,otherA,otherA,921,921,sameOther,1,female
s901_w07_n.wav,s921_w11_n.wav,07,11,n,n,self,otherA,901,921,diffSelf,1,female
s920_w01_s.wav,s921_w13_n.wav,01,13,s,n,otherB,otherA,920,921,diffOther,1,female
s921_w07_n.wav,s920_w09_n.wav,07,09,n,n,otherA,otherB,921,920,diffOther,1,female
s901_w05_n.wav,s921_w19_n.wav,05,19,n,n,self,otherA,901,921,diffSelf,1,female
s920_w15_n.wav,s920_w07_s.wav,15,07,n,s,otherB,otherB,920,920,sameOther,1,female
s921_w14_n.wav,s921_w18_n.wav,14,18,n,n,otherA,otherA,921,921,sameOther,1,female
s920_w20_n.wav,s921_w03_h.wav,20,03,n,h,otherB,otherA,920,921,diffOther,1,female
s901_w08_n.wav,s901_w05_n.wav,08,05,n,n,self,self,901,901,sameSelf,1,female
s920_w07_h.wav,s920_w01_n.wav,07,01,h,n,otherB,otherB,920,920,sameOther,1,female
s901_w15_s.wav,s901_w19_n.wav,15,19,s,n,self,self,901,901,sameSelf,1,female
s921_w16_n.wav,s901_w15_s.wav,16,15,n,s,otherA,self,921,901,diffSelf,1,female
s920_w06_n.wav,s901_w08_n.wav,06,08,n,n,otherB,self,920,901,diffSelf,1,female
s921_w05_n.wav,s901_w12_s.wav,05,12,n,s,otherA,self,921,901,diffSelf,1,female
s920_w02_n.wav,s901_w20_n.wav,02,20,n,n,otherB,self,920,901,diffSelf,1,female
s921_w19_n.wav,s921_w17_n.wav,19,17,n,n,otherA,otherA,921,921,sameOther,1,female
s920_w16_n.wav,s921_w10_n.wav,16,10,n,n,otherB,otherA,920,921,diffOther,1,female
s901_w13_n.wav,s901_w08_h.wav,13,08,n,h,self,self,901,901,sameSelf,1,female
s921_w17_s.wav,s920_w18_n.wav,17,18,s,n,otherA,otherB,921,920,diffOther,1,female
s921_w04_s.wav,s921_w15_n.wav,04,15,s,n,otherA,otherA,921,921,sameOther,1,female
s921_w18_n.wav,s901_w20_h.wav,18,20,n,h,otherA,self,921,901,diffSelf,1,female
s920_w07_n.wav,s920_w09_n.wav,07,09,n,n,otherB,otherB,920,920,sameOther,1,female
